,long,lat,unique_squirrel_id,hectare,shift,date,hectare_squirrel_number,age,primary_fur_color,highlight_fur_color,combination_of_primary_and_highlight_color,color_notes,location,above_ground_sighter_measurement,specific_location,running,chasing,climbing,eating,foraging,other_activities,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from,other_interactions,lat_long,zip_codes,community_districts,borough_boundaries,city_council_districts,police_precincts
21,-73.9695348385828,40.7703657361802,8I-PM-1013-07,08I,PM,10132018,7,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,POINT (-73.9695348385828 40.7703657361802),NA,19,4,19,13
22,-73.9796470494747,40.7678370925485,1C-PM-1013-08,01C,PM,10132018,8,Adult,Cinnamon+Gray,NA,Cinnamon+,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,POINT (-73.9796470494747 40.7678370925485),NA,19,4,19,13
23,-73.955258162768,40.7958147673603,39E-AM-1018-01,39E,AM,10182018,1,Adult,Gray,Cinnamon,Gray+Cinnamon,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,standing still,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,POINT (-73.955258162768 40.7958147673603),NA,19,4,19,13
24,-73.9676246014119,40.786355136088,24A-PM-1007-05,24A,PM,10072018,5,Juvenile,Gray,Cinnamon,Gray+Cinnamon,NA,Above Ground,45,in tree,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,POINT (-73.9676246014119 40.786355136088),NA,19,4,19,13
25,-73.9690241805398,40.7837967580773,21B-AM-1019-07,21B,AM,10192018,7,Adult,Gray,NA,Gray+,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,POINT (-73.9690241805398 40.7837967580773),NA,19,4,19,13
26,-73.9580813119325,40.7905538237042,32F-PM-1008-04,32F,PM,10082018,4,Adult,Gray,NA,Gray+,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,POINT (-73.9580813119325 40.7905538237042),NA,19,4,19,13
27,-73.9746940851342,40.7760966488186,11B-PM-1014-02,11B,PM,10142018,2,Juvenile,Gray,NA,Gray+,NA,Above Ground,10,NA,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,POINT (-73.9746940851342 40.7760966488186),NA,19,4,19,13
28,-73.9730592548116,40.7740879251541,10D-AM-1008-04,10D,AM,10082018,4,Juvenile,Gray,NA,Gray+,NA,Above Ground,25,NA,FALSE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,POINT (-73.9730592548116 40.7740879251541),NA,19,4,19,13
29,-73.9702755805141,40.7783547795222,16D-PM-1010-13,16D,PM,10102018,13,Adult,Gray,NA,Gray+,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,POINT (-73.9702755805141 40.7783547795222),NA,19,4,19,13
30,-73.9716414586381,40.771760114722,9F-PM-1014-06,09F,PM,10142018,6,Adult,Gray,Cinnamon,Gray+Cinnamon,NA,Ground Plane,FALSE,NA,TRUE,FALSE,FALSE,TRUE,FALSE,running (from birds),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,POINT (-73.9716414586381 40.771760114722),NA,19,4,19,13
31,-73.9806718258385,NA,2A-AM-1010-07,02A,AM,10102018,7,Adult,Gray,Cinnamon,Gray+Cinnamon,NA,Ground Plane,FALSE,NA,FALSE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,couldn't get near,POINT (-73.9806718258385 40.76927768969951),NA,19,4,19,13
32,-73.9615516703494,NA,31D-AM-1014-04,31D,AM,10142018,4,Juvenile,Gray,NA,Gray+,NA,Ground Plane,FALSE,Open ground,TRUE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,POINT (-73.9615516703494 40.7905219388359),NA,19,4,19,13
33,-73.9685227310735,40.776599466588,15F-AM-1007-02,15F,AM,10072018,2,Adult,Gray,Cinnamon,Gray+Cinnamon,"Listed as primary white with cinnamon highlights, I changed to Gray/cinnamon - JO",Above Ground,20,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,POINT (-73.9685227310735 40.776599466588),NA,19,4,19,13
34,-73.954699659637,40.7951308856929,38F-AM-1018-02,38F,AM,10182018,2,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",NA,Ground Plane,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,POINT (-73.954699659637 40.7951308856929),NA,19,4,19,13
